Processing: NKDUSCAN.dll
Processing: NKDSBP2.dll
Processing: ICEDLL.dll
Processing: ICENKNL1.dll
Processing: ICENKNX2.dll
Processing: LS4000.md3
Processing: LS5000.md3
Processing: LS8000.md3
Processing: LS9000.md3
Processing: NikonScan4.ds
Processing: DRAGNKL1.dll
Processing: DRAGNKX2.dll
--- EXPORTS ---
binary,name,ordinal,rva,forwarder
NKDSBP2.dll,KERNEL32.dll,SetThreadExecutionState,,1031
NKDSBP2.dll,KERNEL32.dll,CreateFileA,,120
NKDSBP2.dll,KERNEL32.dll,ExitThread,,261
NKDSBP2.dll,KERNEL32.dll,GetCurrentThreadId,,429
NKDSBP2.dll,KERNEL32.dll,CreateThread,,163
NKDSBP2.dll,KERNEL32.dll,TerminateProcess,,1069
NKDSBP2.dll,KERNEL32.dll,GetCurrentProcess,,425
NKDSBP2.dll,KERNEL32.dll,UnhandledExceptionFilter,,1086
NKDSBP2.dll,KERNEL32.dll,SetUnhandledExceptionFilter,,1045
NKDSBP2.dll,KERNEL32.dll,IsDebuggerPresent,,721
NKDSBP2.dll,KERNEL32.dll,RaiseException,,858
NKDSBP2.dll,KERNEL32.dll,RtlUnwind,,914
NKDSBP2.dll,KERNEL32.dll,GetCommandLineA,,367
NKDSBP2.dll,KERNEL32.dll,HeapFree,,673
NKDSBP2.dll,KERNEL32.dll,GetVersionExA,,629
NKDSBP2.dll,KERNEL32.dll,HeapAlloc,,669
NKDSBP2.dll,KERNEL32.dll,GetProcessHeap,,547
NKDSBP2.dll,KERNEL32.dll,WriteFile,,1165
NKDSBP2.dll,KERNEL32.dll,GetStdHandle,,571
NKDSBP2.dll,KERNEL32.dll,GetModuleFileNameA,,500
NKDSBP2.dll,KERNEL32.dll,GetProcAddress,,544
NKDSBP2.dll,KERNEL32.dll,TlsGetValue,,1076
NKDSBP2.dll,KERNEL32.dll,TlsAlloc,,1074
NKDSBP2.dll,KERNEL32.dll,TlsSetValue,,1077
NKDSBP2.dll,KERNEL32.dll,TlsFree,,1075
NKDSBP2.dll,KERNEL32.dll,InterlockedIncrement,,704
NKDSBP2.dll,KERNEL32.dll,SetLastError,,1004
NKDSBP2.dll,KERNEL32.dll,InterlockedDecrement,,700
NKDSBP2.dll,KERNEL32.dll,ExitProcess,,260
NKDSBP2.dll,KERNEL32.dll,SetHandleCount,,1000
NKDSBP2.dll,KERNEL32.dll,GetFileType,,471
NKDSBP2.dll,KERNEL32.dll,GetStartupInfoA,,569
NKDSBP2.dll,KERNEL32.dll,FreeEnvironmentStringsA,,330
NKDSBP2.dll,KERNEL32.dll,GetEnvironmentStrings,,447
NKDSBP2.dll,KERNEL32.dll,FreeEnvironmentStringsW,,331
NKDSBP2.dll,KERNEL32.dll,GetEnvironmentStringsW,,449
NKDSBP2.dll,KERNEL32.dll,HeapDestroy,,672
NKDSBP2.dll,KERNEL32.dll,HeapCreate,,671
NKDSBP2.dll,KERNEL32.dll,VirtualFree,,1111
NKDSBP2.dll,KERNEL32.dll,QueryPerformanceCounter,,852
NKDSBP2.dll,KERNEL32.dll,GetTickCount,,614
NKDSBP2.dll,KERNEL32.dll,GetCurrentProcessId,,426
NKDSBP2.dll,KERNEL32.dll,GetSystemTimeAsFileTime,,591
NKDSBP2.dll,KERNEL32.dll,LoadLibraryA,,753
NKDSBP2.dll,KERNEL32.dll,GetCPInfo,,347
NKDSBP2.dll,KERNEL32.dll,GetACP,,338
